
Integration time [ms]:   0.100
Averaging Nr. [scans]: 1000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7213323SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 175.65;  184.053;  185.783;  180.414;-1.72962
 176.25;  202.212;  205.927;  201.051;-3.71451
 176.85;  199.600;  202.683;  197.041;-3.08383
 177.45;  201.784;  203.508;  199.894;-1.72345
 178.05;  192.215;  193.685;  190.085;-1.46941
 178.65;  190.815;  193.947;  189.195;-3.13215
 179.25;  186.007;  189.491;  186.282;-3.48403
 179.85;  194.205;  197.291;  191.669;-3.08552
 180.45;  185.648;  188.606;  185.031;-2.95827
 181.05;  227.081;  231.340;  226.588;-4.25909
 181.65;  189.107;  192.091;  188.083;-2.98417
 182.25;  208.992;  211.949;  206.883;-2.95692
 182.86;  204.371;  207.996;  202.121;-3.62493
 183.46;  201.958;  206.147;  200.708;-4.18841
 184.06;  187.683;  189.341;  185.033;-1.65879
 184.66;  168.025;  169.990;  164.643;-1.96574
 185.26;  210.087;  213.061;  214.998;-2.97343
 185.86;  191.158;  193.960;  191.880;-2.80278
 186.46;  211.823;  214.994;  211.614;-3.17129
 187.06;  195.039;  196.902;  194.406;-1.86266
 187.66;  217.571;  219.094;  216.525;-1.52245
 188.26;  221.838;  223.645;  220.940;-1.80638
 188.86;  199.807;  202.311;  200.640;-2.50387
 189.46;  197.024;  199.956;  198.052;-2.93222
 190.06;  188.865;  190.583;  188.358;-1.71812
 190.66;  194.612;  196.091;  194.493;-1.47928
 191.26;  213.273;  214.076;  212.779;-0.80314
 191.86;  207.969;  210.199;  207.622;-2.23032
 192.46;  205.939;  209.408;  206.770;-3.46915
 193.06;  208.568;  210.877;  207.841;-2.30969
 193.66;  199.288;  200.410;  199.942;-1.12270
 194.26;  215.304;  217.694;  218.472;-2.38959
 194.86;  182.856;  184.639;  184.097;-1.78317
 195.46;  189.902;  191.975;  189.176;-2.07309
 196.06;  202.577;  205.195;  202.533;-2.61738
 196.66;  181.008;  183.302;  181.286;-2.29357
 197.26;  179.576;  182.502;  180.080;-2.92673
 197.86;  210.203;  212.390;  210.197;-2.18659
 198.46;  178.177;  180.583;  179.072;-2.40545
 199.06;  207.122;  209.579;  206.441;-2.45722
 199.66;  195.175;  197.179;  194.867;-2.00421
 200.26;  184.429;  186.929;  185.670;-2.49987
 200.85;  202.392;  204.678;  202.080;-2.28624
 201.45;  194.676;  196.412;  195.434;-1.73597
 202.05;  195.432;  197.534;  195.645;-2.10218
 202.65;  190.368;  193.343;  189.896;-2.97531
 203.25;  181.106;  182.811;  181.206;-1.70511
 203.85;  195.222;  197.717;  195.949;-2.49448
 204.45;  224.736;  226.232;  226.293;-1.49625
 205.05;  170.608;  172.215;  170.599;-1.60638
 205.65;  177.588;  180.256;  177.581;-2.66736
 206.25;  203.376;  206.201;  205.331;-2.82435
 206.85;  183.775;  186.155;  183.435;-2.37964
 207.45;  190.666;  193.446;  191.637;-2.77963
 208.05;  179.900;  182.052;  180.242;-2.15136
 208.65;  182.272;  183.924;  182.976;-1.65228
 209.25;  174.029;  177.281;  174.426;-3.25224
 209.84;  204.030;  204.778;  203.273;-0.74818
 210.44;  184.681;  185.831;  184.524;-1.14943
 211.04;  218.581;  220.826;  219.523;-2.24458
 211.64;  184.291;  186.519;  184.227;-2.22806
 212.24;  195.947;  197.061;  196.408;-1.11475
 212.84;  191.024;  192.686;  191.061;-1.66210
 213.44;  178.078;  179.742;  179.735;-1.66358
 214.04;  177.251;  179.422;  178.889;-2.17175
 214.64;  195.357;  196.010;  196.183;-0.65258
 215.24;  175.341;  176.617;  175.860;-1.27590
 215.83;  195.448;  197.577;  195.308;-2.12917
 216.43;  163.176;  165.306;  164.475;-2.13071
 217.03;  171.142;  173.213;  173.835;-2.07170
 217.63;  176.247;  178.375;  178.008;-2.12818
 218.23;  185.948;  188.109;  187.688;-2.16092
 218.83;  177.774;  179.774;  179.547;-2.00071
 219.43;  175.660;  176.967;  177.218;-1.30782
