
Integration time [ms]:   0.100
Averaging Nr. [scans]: 1000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7213323SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 175.65;  183.355;  180.919;  180.414; 2.43595
 176.25;  203.050;  200.771;  201.051; 2.27884
 176.85;  200.662;  198.074;  197.041; 2.58816
 177.45;  200.353;  199.398;  199.894; 0.95478
 178.05;  191.820;  191.085;  190.085; 0.73473
 178.65;  191.431;  189.686;  189.195; 1.74448
 179.25;  186.351;  185.439;  186.282; 0.91235
 179.85;  195.021;  193.332;  191.669; 1.68884
 180.45;  186.546;  184.832;  185.031; 1.71460
 181.05;  228.815;  226.307;  226.588; 2.50842
 181.65;  188.349;  187.039;  188.083; 1.30950
 182.25;  210.443;  207.692;  206.883; 2.75125
 182.86;  206.021;  204.005;  202.121; 2.01625
 183.46;  203.721;  202.367;  200.708; 1.35374
 184.06;  186.908;  184.141;  185.033; 2.76711
 184.66;  166.103;  166.129;  164.643;-0.02594
 185.26;  209.931;  208.305;  214.998; 1.62575
 185.86;  192.763;  189.907;  191.880; 2.85611
 186.46;  212.166;  210.353;  211.614; 1.81262
 187.06;  194.641;  192.861;  194.406; 1.77999
 187.66;  217.575;  215.591;  216.525; 1.98378
 188.26;  221.832;  219.979;  220.940; 1.85371
 188.86;  200.073;  200.952;  200.640;-0.87880
 189.46;  197.027;  196.104;  198.052; 0.92355
 190.06;  187.730;  186.631;  188.358; 1.09945
 190.66;  192.877;  192.343;  194.493; 0.53361
 191.26;  212.503;  210.484;  212.779; 2.01946
 191.86;  207.446;  206.545;  207.622; 0.90164
 192.46;  206.526;  204.911;  206.770; 1.61547
 193.06;  209.106;  206.281;  207.841; 2.82501
 193.66;  197.353;  196.673;  199.942; 0.68003
 194.26;  214.854;  214.002;  218.472; 0.85192
 194.86;  183.730;  181.785;  184.097; 1.94449
 195.46;  190.385;  189.136;  189.176; 1.24841
 196.06;  204.014;  202.019;  202.533; 1.99470
 196.66;  180.465;  179.580;  181.286; 0.88489
 197.26;  179.840;  178.678;  180.080; 1.16206
 197.86;  210.681;  208.508;  210.197; 2.17291
 198.46;  179.266;  177.168;  179.072; 2.09777
 199.06;  205.739;  204.760;  206.441; 0.97954
 199.66;  195.434;  193.588;  194.867; 1.84653
 200.26;  184.232;  182.810;  185.670; 1.42220
 200.85;  201.974;  200.569;  202.080; 1.40557
 201.45;  194.204;  193.142;  195.434; 1.06129
 202.05;  195.368;  193.539;  195.645; 1.82951
 202.65;  189.609;  188.779;  189.896; 0.83063
 203.25;  180.734;  179.750;  181.206; 0.98444
 203.85;  194.057;  193.742;  195.949; 0.31480
 204.45;  223.771;  223.319;  226.293; 0.45258
 205.05;  169.068;  168.522;  170.599; 0.54570
 205.65;  178.016;  176.045;  177.581; 1.97069
 206.25;  203.223;  202.882;  205.331; 0.34067
 206.85;  182.548;  180.907;  183.435; 1.64096
 207.45;  190.995;  189.768;  191.637; 1.22695
 208.05;  179.335;  177.930;  180.242; 1.40469
 208.65;  181.525;  179.849;  182.976; 1.67561
 209.25;  174.118;  173.287;  174.426; 0.83056
 209.84;  202.855;  202.179;  203.273; 0.67551
 210.44;  184.219;  182.224;  184.524; 1.99475
 211.04;  218.094;  216.133;  219.523; 1.96091
 211.64;  184.789;  182.315;  184.227; 2.47438
 212.24;  194.984;  193.615;  196.408; 1.36908
 212.84;  190.703;  188.539;  191.061; 2.16343
 213.44;  178.179;  175.962;  179.735; 2.21691
 214.04;  177.712;  174.930;  178.889; 2.78207
 214.64;  194.298;  192.531;  196.183; 1.76691
 215.24;  173.475;  172.409;  175.860; 1.06623
 215.83;  195.602;  194.541;  195.308; 1.06049
 216.43;  162.404;  162.022;  164.475; 0.38204
 217.03;  171.168;  169.678;  173.835; 1.49003
 217.63;  175.254;  174.214;  178.008; 1.04051
 218.23;  184.716;  184.270;  187.688; 0.44624
 218.83;  177.351;  175.814;  179.547; 1.53704
 219.43;  174.093;  173.026;  177.218; 1.06714
