2Channel
Integration time [ms]:   0.100
Averaging Nr. [scans]: 1000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7213323SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 175.65;  181.118;  180.919;  180.414; 0.19833
 176.25;  200.443;  200.771;  201.051;-0.32867
 176.85;  198.191;  198.074;  197.041; 0.11733
 177.45;  198.821;  199.398;  199.894;-0.57667
 178.05;  189.143;  191.085;  190.085;-1.94167
 178.65;  188.900;  189.686;  189.195;-0.78567
 179.25;  184.563;  185.439;  186.282;-0.87567
 179.85;  193.849;  193.332;  191.669; 0.51733
 180.45;  183.436;  184.832;  185.031;-1.39567
 181.05;  226.117;  226.307;  226.588;-0.18967
 181.65;  187.249;  187.039;  188.083; 0.21033
 182.25;  207.192;  207.692;  206.883;-0.49967
 182.86;  203.839;  204.005;  202.121;-0.16667
 183.46;  202.120;  202.367;  200.708;-0.24767
 184.06;  183.536;  184.141;  185.033;-0.60467
 184.66;  164.884;  166.129;  164.643;-1.24568
 185.26;  207.015;  208.305;  214.998;-1.28967
 185.86;  188.735;  189.907;  191.880;-1.17167
 186.46;  210.983;  210.353;  211.614; 0.63033
 187.06;  193.901;  192.861;  194.406; 1.03933
 187.66;  213.205;  215.591;  216.525;-2.38667
 188.26;  219.986;  219.979;  220.940; 0.00733
 188.86;  198.795;  200.952;  200.640;-2.15767
 189.46;  196.111;  196.104;  198.052; 0.00733
 190.06;  187.289;  186.631;  188.358; 0.65833
 190.66;  192.334;  192.343;  194.493;-0.00867
 191.26;  210.341;  210.484;  212.779;-0.14267
 191.86;  206.176;  206.545;  207.622;-0.36867
 192.46;  204.096;  204.911;  206.770;-0.81467
 193.06;  205.283;  206.281;  207.841;-0.99867
 193.66;  195.260;  196.673;  199.942;-1.41367
 194.26;  212.522;  214.002;  218.472;-1.47967
 194.86;  181.664;  181.785;  184.097;-0.12067
 195.46;  187.546;  189.136;  189.176;-1.58967
 196.06;  200.462;  202.019;  202.533;-1.55667
 196.66;  179.752;  179.580;  181.286; 0.17233
 197.26;  177.699;  178.678;  180.080;-0.97867
 197.86;  208.438;  208.508;  210.197;-0.07067
 198.46;  176.109;  177.168;  179.072;-1.05967
 199.06;  203.471;  204.760;  206.441;-1.28867
 199.66;  193.082;  193.588;  194.867;-0.50567
 200.26;  182.014;  182.810;  185.670;-0.79667
 200.85;  200.478;  200.569;  202.080;-0.09067
 201.45;  192.288;  193.142;  195.434;-0.85467
 202.05;  191.826;  193.539;  195.645;-1.71267
 202.65;  187.155;  188.779;  189.896;-1.62367
 203.25;  178.763;  179.750;  181.206;-0.98667
 203.85;  192.582;  193.742;  195.949;-1.16067
 204.45;  222.075;  223.319;  226.293;-1.24367
 205.05;  167.461;  168.522;  170.599;-1.06067
 205.65;  174.325;  176.045;  177.581;-1.71967
 206.25;  201.582;  202.882;  205.331;-1.29967
 206.85;  179.923;  180.907;  183.435;-0.98467
 207.45;  188.171;  189.768;  191.637;-1.59667
 208.05;  177.164;  177.930;  180.242;-0.76567
 208.65;  179.497;  179.849;  182.976;-0.35168
 209.25;  172.162;  173.287;  174.426;-1.12467
 209.84;  201.320;  202.179;  203.273;-0.85867
 210.44;  181.207;  182.224;  184.524;-1.01667
 211.04;  215.813;  216.133;  219.523;-0.31967
 211.64;  182.719;  182.315;  184.227; 0.40433
 212.24;  193.279;  193.615;  196.408;-0.33567
 212.84;  187.716;  188.539;  191.061;-0.82268
 213.44;  175.696;  175.962;  179.735;-0.26667
 214.04;  174.436;  174.930;  178.889;-0.49367
 214.64;  192.525;  192.531;  196.183;-0.00667
 215.24;  171.921;  172.409;  175.860;-0.48767
 215.83;  192.804;  194.541;  195.308;-1.73667
 216.43;  160.068;  162.022;  164.475;-1.95367
 217.03;  168.575;  169.678;  173.835;-1.10367
 217.63;  173.012;  174.214;  178.008;-1.20167
 218.23;  182.902;  184.270;  187.688;-1.36767
 218.83;  175.521;  175.814;  179.547;-0.29267
 219.43;  171.614;  173.026;  177.218;-1.41167
