
Integration time [ms]:   0.100
Averaging Nr. [scans]: 10000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7213323SP
Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
[nm]   ;[counts] ;[counts] ;[counts] ;[µWatt/cm²/nm]       ;[µMol/s/m²/nm]

 175.65;  197.987;  213.075;  197.124; 0.00000; 0.00000
 176.25;  218.446;  207.077;  216.251; 0.00000; 0.00000
 176.85;  215.284;  214.076;  214.253; 0.00000; 0.00000
 177.45;  215.944;  204.076;  213.923; 0.00000; 0.00000
 178.05;  206.705;  182.076;  205.015; 0.00000; 0.00000
 178.65;  205.582;  203.075;  204.000; 0.00000; 0.00000
 179.25;  201.430;  202.074;  200.248; 0.00000; 0.00000
 179.85;  209.613;  216.076;  207.425; 0.00000; 0.00000
 180.45;  201.183;  195.075;  199.877; 0.00000; 0.00000
 181.05;  242.175;  252.074;  240.759; 0.00000; 0.00000
 181.65;  202.733;  190.075;  201.623; 0.00000; 0.00000
 182.25;  224.215;  244.074;  222.607; 0.00000; 0.00000
 182.86;  220.574;  235.075;  219.160; 0.00000; 0.00000
 183.46;  218.797;  210.075;  217.401; 0.00000; 0.00000
 184.06;  201.522;  209.076;  200.340; 0.00000; 0.00000
 184.66;  182.113;  194.075;  180.459; 0.00000; 0.00000
 185.26;  233.593;  223.068;  232.442; 0.00000; 0.00000
 185.86;  208.764;  216.066;  207.390; 0.00000; 0.00000
 186.46;  227.459;  256.066;  226.636; 0.00000; 0.00000
 187.06;  210.337;  203.067;  208.589; 0.00000; 0.00000
 187.66;  232.987;  206.067;  231.985; 0.00000; 0.00000
 188.26;  237.247;  214.067;  235.406; 0.00000; 0.00000
 188.86;  216.921;  199.067;  215.850; 0.00000; 0.00000
 189.46;  214.464;  229.067;  213.039; 0.00000; 0.00000
 190.06;  204.866;  236.066;  203.659; 0.00000; 0.00000
 190.66;  209.934;  224.068;  208.498; 0.00000; 0.00000
 191.26;  227.844;  216.066;  227.110; 0.00000; 0.00000
 191.86;  223.780;  200.067;  222.397; 0.00000; 0.00000
 192.46;  222.331;  191.066;  221.184; 0.00000; 0.00000
 193.06;  224.607;  207.067;  222.854; 0.00000; 0.00000
 193.66;  215.197;  221.067;  214.383; 0.00000; 0.00000
 194.26;  232.758;  215.068;  231.613; 0.00000; 0.00000
 194.86;  200.119;  183.067;  198.764; 0.00000; 0.00000
 195.46;  205.570;  178.067;  203.919; 0.00000; 0.00000
 196.06;  219.489;  190.068;  218.291; 0.00000; 0.00000
 196.66;  197.508;  197.068;  195.835; 0.00000; 0.00000
 197.26;  195.740;  172.068;  194.661; 0.00000; 0.00000
 197.86;  225.709;  240.067;  224.205; 0.00000; 0.00000
 198.46;  193.764;  192.067;  192.725; 0.00000; 0.00000
 199.06;  221.650;  188.067;  220.163; 0.00000; 0.00000
 199.66;  211.610;  191.067;  210.815; 0.00000; 0.00000
 200.26;  200.209;  201.067;  198.195;-9.89234;-0.16557
 200.85;  218.332;  191.069;  217.441;302.39939; 5.07641
 201.45;  210.906;  219.067;  209.096;-85.93440;-1.44690
 202.05;  210.014;  217.068;  209.097;-70.56237;-1.19161
 202.65;  206.206;  210.067;  205.053;-36.79584;-0.62323
 203.25;  196.608;  207.068;  195.251;-94.62265;-1.60741
 203.85;  210.384;  202.069;  208.956;72.01895; 1.22703
 204.45;  240.759;  208.067;  239.647;271.59753; 4.64099
 205.05;  186.024;  193.068;  184.515;-55.69842;-0.95455
 205.65;  193.324;  198.068;  192.138;-35.14981;-0.60415
 206.25;  220.920;  222.068;  219.004;-8.15857;-0.14064
 206.85;  199.518;  196.067;  198.397;23.29744; 0.40277
 207.45;  207.345;  193.068;  206.056;91.75905; 1.59093
 208.05;  196.768;  217.068;  195.157;-125.27337;-2.17829
 208.65;  198.657;  230.068;  197.157;-187.71001;-3.27335
 209.25;  190.131;  224.068;  189.041;-195.34363;-3.41625
 209.84;  218.905;  219.067;  217.507;-0.92257;-0.01618
 210.44;  200.243;  199.068;  198.876; 6.50047; 0.11433
 211.04;  235.657;  267.068;  234.048;-168.54978;-2.97299
 211.64;  200.646;  188.066;  199.892;64.45812; 1.14018
 212.24;  212.408;  209.068;  210.605;16.47675; 0.29228
 212.84;  208.096;  190.067;  207.066;86.21313; 1.53363
 213.44;  195.118;  200.067;  193.775;-22.57490;-0.40271
 214.04;  194.157;  210.068;  193.567;-69.62780;-1.24557
 214.64;  211.573;  157.067;  210.055;227.77034; 4.08597
 215.24;  191.383;  205.068;  190.255;-55.44071;-0.99733
 215.83;  212.403;  204.067;  211.130;32.40899; 0.58463
 216.43;  180.739;  169.068;  179.390;43.93154; 0.79468
 217.03;  188.527;  170.067;  186.755;67.65992; 1.22730
 217.63;  194.099;  211.068;  193.198;-59.77632;-1.08729
 218.23;  203.306;  195.068;  202.169;28.50550; 0.51992
 218.83;  194.983;  205.068;  194.139;-33.86181;-0.61931
 219.43;  192.172;  167.068;  190.676;82.02682; 1.50432
 220.03;  185.848;  168.067;  184.680;56.21210; 1.03371
 220.62;  191.332;  150.068;  189.478;126.98891; 2.34160
 221.22;  202.162;  202.068;  200.888; 0.27927; 0.00516
